ID,fish,lat,long
A1,present,-22.805206,-49.187332
A2,present,-22.805149,-49.187597
A3,absent,-22.805038,-49.187837
A4,present,-22.804896,-49.188107
A5,absent,-22.804883,-49.188362
A6,absent,-22.804807,-49.18866
A7,present,-22.80472,-49.188898
A8,absent,-22.804648,-49.189106
B1,absent,-22.80601,-49.187253
B2,absent,-22.805942,-49.187642
B3,present,-22.805808,-49.18801
B4,present,-22.805776,-49.188246
B5,absent,-22.805562,-49.18862
B6,present,-22.805498,-49.189036
B7,absent,-22.805489,-49.189345
B8,present,-22.805343,-49.189463
C1,present,-22.808971,-49.188626
C2,absent,-22.808895,-49.188847
C3,absent,-22.808984,-49.189244
C4,present,-22.808691,-49.189534
C5,absent,-22.808646,-49.189966
C6,absent,-22.808722,-49.190162
C7,present,-22.808608,-49.190327
C8,present,-22.808425,-49.190568
